date,France,Italy,US,Vietnam
11/1/21,6990332,4774783,46149122,926720
11/2/21,6992339,4777614,46217862,932357
11/3/21,7002389,4782802,46303456,939463
11/4/21,7011068,4788704,46384895,946043
11/5/21,7019847,4795465,46481755,953547
11/6/21,7029452,4802225,46516615,961038
11/7/21,7037999,4808047,46553444,968684
11/8/21,7039756,4812594,46664195,976672
11/9/21,7051795,4818705,46742557,984805
11/10/21,7062794,4826738,46837626,992735
11/11/21,7075244,4835435,46895270,1000897
11/12/21,7079005,4843957,47038776,1009879
11/13/21,7093651,4852496,47082728,1018346
11/14/21,7106147,4860061,47114640,1026522
11/15/21,7109125,4865260,47248683,1035138
11/16/21,7128903,4873075,47335953,1045397
11/17/21,7149118,4883242,47448794,1055246
11/18/21,7168026,4893887,47558630,1065469
11/19/21,7188721,4904441,47685498,1075094
11/20/21,7211399,4915981,47730858,1084625
11/21/21,7231148,4925688,47770690,1094514
11/22/21,7235966,4932091,47915309,1104835
11/23/21,7266361,4942135,48006656,1143967
11/24/21,7296757,4954585,48118232,1155778
11/25/21,7330086,4968341,48157551,1168228
11/26/21,7364380,4982022,48210972,1181337
11/27/21,7401437,4994891,48237511,1197404
11/28/21,7433018,5007818,48280660,1210340
11/29/21,7441297,5015790,48466957,1224110
11/30/21,7486179,5028547,48584064,1238082
12/1/21,7535587,5043620,48721171,1252590
12/2/21,7583957,5060430,48860020,1266288
12/3/21,7633529,5077445,49018639,1280780
12/4/21,7684993,5094072,49084981,1294778
12/5/21,7727146,5109082,49140164,1309092
12/6/21,7738424,5118576,49317853,1323683
12/7/21,7794665,5134318,49431115,1337523
12/8/21,7855841,5152264,49581023,1352122
12/9/21,7912490,5164780,49705551,1367433
12/10/21,7967415,5185270,49863754,1382272
12/11/21,8021334,5206305,49920341,1398413
12/12/21,8065182,5225517,49972647,1413051
12/13/21,8076647,5238221,50158135,1428428
12/14/21,8136637,5258886,50273155,1443648
12/15/21,8202064,5282076,50416786,1459175
12/16/21,8262620,5308180,50558511,1493237
12/17/21,8320607,5336795,50751167,1508473
12/18/21,8379143,5364852,50830925,1524368
12/19/21,8427616,5389155,50920124,1540478
12/20/21,8442487,5405360,51160166,1555455
12/21/21,8515067,5436143,51339562,1571780
12/22/21,8599161,5472469,51583296,1588335
12/23/21,8685716,5517054,51853046,1604712
12/24/21,8779840,5567644,52101557,1620869
12/25/21,8884451,5622431,52188208,1636455
12/26/21,8912148,5647313,52366589,1651673
12/27/21,8941762,5678112,52867140,1666545
12/28/21,9121078,5756412,53229100,1680985
12/29/21,9323371,5854428,53731151,1694874
12/30/21,9529614,5981428,54321802,1714742
12/31/21,9761814,6125683,54835331,1731257
1/1/22,9980940,6266939,55024055,1746092
