code,name,freq,listed_in,amount
GBR,"United Kingdom",471,"Stand-Up Comedy",16
ITA,Italy,55,Thrillers,6
DNK,Denmark,30,Thrillers,4
IND,India,748,"TV Action & Adventure",4
USA,"United States",2054,"Anime Features",3
USA,"United States",2054,"Teen TV Shows",11
VNM,Vietnam,4,"Action & Adventure",2
VNM,Vietnam,4,Dramas,2
VNM,Vietnam,4,"International Movies",4
FRA,France,227,"Children & Family Movies",13
IND,India,748,"Music & Musicals",89
NGA,Nigeria,26,"Romantic Movies",3
ESP,Spain,155,"British TV Shows",3
DEU,Germany,122,"British TV Shows",3
FRA,France,227,"British TV Shows",1
DEU,Germany,122,"Crime TV Shows",8
GBR,"United Kingdom",471,"Crime TV Shows",24
ESP,Spain,155,"TV Comedies",2
ESP,Spain,155,Documentaries,16
CHE,Switzerland,15,Documentaries,3
KOR,"South Korea",133,"Anime Series",1
CAN,Canada,228,"Anime Series",1
FRA,France,227,"TV Horror",2
MEX,Mexico,107,"TV Dramas",7
CHN,China,111,"Romantic Movies",9
USA,"United States",2054,"TV Sci-Fi & Fantasy",15
IND,India,748,"Children & Family Movies",13
CHN,China,111,Comedies,22
FRA,France,227,"TV Thrillers",1
PAK,Pakistan,23,Dramas,12
PAK,Pakistan,23,"Independent Movies",4
PAK,Pakistan,23,"International Movies",19
CAN,Canada,228,"Cult Movies",5
BRA,Brazil,56,Documentaries,11
BRA,Brazil,56,"International Movies",29
PRT,Portugal,4,Dramas,4
BRA,Brazil,56,Dramas,20
PRT,Portugal,4,"Independent Movies",2
BRA,Brazil,56,"Independent Movies",9
DNK,Denmark,30,"Independent Movies",7
PRT,Portugal,4,"International Movies",3
ARE,"United Arab Emirates",19,Comedies,5
ARE,"United Arab Emirates",19,"International Movies",10
EGY,Egypt,53,"Action & Adventure",7
EGY,Egypt,53,Comedies,24
CHN,China,111,"British TV Shows",1
CHN,China,111,"Kids' TV",1
JPN,Japan,161,"Teen TV Shows",4
COL,Colombia,30,Comedies,5
CHL,Chile,22,"Children & Family Movies",1
CHL,Chile,22,Comedies,6
CHL,Chile,22,Dramas,9
GBR,"United Kingdom",471,"TV Dramas",13
GBR,"United Kingdom",471,"TV Sci-Fi & Fantasy",2
COL,Colombia,30,"Crime TV Shows",11
COL,Colombia,30,"International TV Shows",17
COL,Colombia,30,"Spanish-Language TV Shows",16
BRA,Brazil,56,"Faith & Spirituality",3
TWN,Taiwan,72,"International Movies",7
TWN,Taiwan,72,"Music & Musicals",1
CHN,China,111,"Music & Musicals",1
CAN,Canada,228,"International TV Shows",9
LUX,Luxembourg,7,"Sci-Fi & Fantasy",1
POL,Poland,24,"Sci-Fi & Fantasy",1
DEU,Germany,122,"Sci-Fi & Fantasy",6
ISR,Israel,20,"Sci-Fi & Fantasy",1
TUR,Turkey,79,"Horror Movies",6
IND,India,748,"Horror Movies",28
PHL,Philippines,45,"International Movies",44
PHL,Philippines,45,"Romantic Movies",20
ESP,Spain,155,"Romantic TV Shows",3
RUS,Russia,17,"Crime TV Shows",5
RUS,Russia,17,"International TV Shows",8
RUS,Russia,17,"TV Dramas",6
KOR,"South Korea",133,"Sci-Fi & Fantasy",4
CHN,China,111,"TV Dramas",16
ESP,Spain,155,"TV Action & Adventure",1
TWN,Taiwan,72,"TV Thrillers",1
BRA,Brazil,56,"Stand-Up Comedy",6
USA,"United States",2054,"Stand-Up Comedy & Talk Shows",15
AUS,Australia,97,"TV Comedies",5
LBN,Lebanon,9,"International TV Shows",7
LBN,Lebanon,9,"TV Dramas",7
HKG,"Hong Kong",96,"International TV Shows",4
MYS,Malaysia,19,"International TV Shows",2
HKG,"Hong Kong",96,"Korean TV Shows",1
SGP,Singapore,25,"Korean TV Shows",1
MYS,Malaysia,19,"Korean TV Shows",1
HKG,"Hong Kong",96,"Romantic TV Shows",1
SGP,Singapore,25,"Romantic TV Shows",3
MYS,Malaysia,19,"Romantic TV Shows",1
KOR,"South Korea",133,"TV Dramas",15
PHL,Philippines,45,Comedies,17
PHL,Philippines,45,Dramas,24
JPN,Japan,161,Documentaries,6
NLD,Netherlands,31,"Children & Family Movies",1
NLD,Netherlands,31,Comedies,4
BGR,Bulgaria,7,"Action & Adventure",3
PAK,Pakistan,23,"Crime TV Shows",1
PAK,Pakistan,23,"International TV Shows",4
PAK,Pakistan,23,"Romantic TV Shows",4
KOR,"South Korea",133,"Action & Adventure",15
IND,India,748,Docuseries,5
AUS,Australia,97,Comedies,13
AUS,Australia,97,"Romantic Movies",2
THA,Thailand,51,"TV Mysteries",3
THA,Thailand,51,"TV Thrillers",1
AUS,Australia,97,"Reality TV",5
SGP,Singapore,25,Dramas,6
IND,India,748,"TV Shows",2
POL,Poland,24,"Action & Adventure",1
PHL,Philippines,45,"Horror Movies",3
BEL,Belgium,59,"Horror Movies",4
ARG,Argentina,61,Dramas,26
ARG,Argentina,61,"Independent Movies",6
ARG,Argentina,61,"International Movies",41
EGY,Egypt,53,"Music & Musicals",2
IND,India,748,"TV Horror",6
IND,India,748,"TV Mysteries",3
CAN,Canada,228,Documentaries,31
CAN,Canada,228,"Sports Movies",9
FRA,France,227,"Kids' TV",21
GBR,"United Kingdom",471,"Romantic TV Shows",6
TWN,Taiwan,72,Dramas,4
CHN,China,111,"Independent Movies",1
TWN,Taiwan,72,"Independent Movies",1
AUS,Australia,97,"British TV Shows",2
ITA,Italy,55,Documentaries,16
ESP,Spain,155,"Music & Musicals",4
GBR,"United Kingdom",471,"Music & Musicals",20
CHE,Switzerland,15,Thrillers,1
ARG,Argentina,61,Documentaries,5
ARG,Argentina,61,"Sports Movies",4
ARE,"United Arab Emirates",19,"Children & Family Movies",3
CZE,"Czech Republic",14,"Action & Adventure",3
CZE,"Czech Republic",14,"Sci-Fi & Fantasy",2
CHN,China,111,"Sci-Fi & Fantasy",11
CZE,"Czech Republic",14,"Children & Family Movies",1
CZE,"Czech Republic",14,Comedies,2
