code,name,freq,listed_in,amount,type_i
PHL,Philippines,45,Dramas,24,Movie
JPN,Japan,161,Documentaries,6,Movie
NLD,Netherlands,31,"Children & Family Movies",1,Movie
NLD,Netherlands,31,Comedies,4,Movie
BGR,Bulgaria,7,"Action & Adventure",3,Movie
PAK,Pakistan,23,"Crime TV Shows",1,"TV Show"
PAK,Pakistan,23,"International TV Shows",4,"TV Show"
PAK,Pakistan,23,"Romantic TV Shows",4,"TV Show"
KOR,"South Korea",133,"Action & Adventure",15,Movie
IND,India,748,Docuseries,5,"TV Show"
AUS,Australia,97,Comedies,13,Movie
AUS,Australia,97,"Romantic Movies",2,Movie
THA,Thailand,51,"TV Mysteries",3,"TV Show"
THA,Thailand,51,"TV Thrillers",1,Movie
AUS,Australia,97,"Reality TV",5,"TV Show"
SGP,Singapore,25,Dramas,6,Movie
IND,India,748,"TV Shows",2,"TV Show"
POL,Poland,24,"Action & Adventure",1,Movie
PHL,Philippines,45,"Horror Movies",3,Movie
BEL,Belgium,59,"Horror Movies",4,Movie
ARG,Argentina,61,Dramas,26,Movie
ARG,Argentina,61,"Independent Movies",6,Movie
ARG,Argentina,61,"International Movies",41,Movie
EGY,Egypt,53,"Music & Musicals",2,Movie
IND,India,748,"TV Horror",6,"TV Show"
IND,India,748,"TV Mysteries",3,"TV Show"
CAN,Canada,228,Documentaries,31,Movie
CAN,Canada,228,"Sports Movies",9,Movie
FRA,France,227,"Kids' TV",21,"TV Show"
GBR,"United Kingdom",471,"Romantic TV Shows",6,"TV Show"
TWN,Taiwan,72,Dramas,4,Movie
CHN,China,111,"Independent Movies",1,Movie
TWN,Taiwan,72,"Independent Movies",1,Movie
AUS,Australia,97,"British TV Shows",2,"TV Show"
ITA,Italy,55,Documentaries,16,Movie
ESP,Spain,155,"Music & Musicals",4,Movie
GBR,"United Kingdom",471,"Music & Musicals",20,Movie
CHE,Switzerland,15,Thrillers,1,Movie
ARG,Argentina,61,Documentaries,5,Movie
ARG,Argentina,61,"Sports Movies",4,Movie
ARE,"United Arab Emirates",19,"Children & Family Movies",3,Movie
CZE,"Czech Republic",14,"Action & Adventure",3,Movie
CZE,"Czech Republic",14,"Sci-Fi & Fantasy",2,Movie
CHN,China,111,"Sci-Fi & Fantasy",11,Movie
CZE,"Czech Republic",14,"Children & Family Movies",1,Movie
CZE,"Czech Republic",14,Comedies,2,Movie
THA,Thailand,51,"Horror Movies",15,Movie
THA,Thailand,51,"International Movies",35,Movie
THA,Thailand,51,"Romantic Movies",9,Movie
DOM,"Dominican Republic",2,Documentaries,1,Movie
DOM,"Dominican Republic",2,"International Movies",2,Movie
MEX,Mexico,107,"Action & Adventure",5,Movie
MEX,Mexico,107,"Sci-Fi & Fantasy",2,Movie
BRA,Brazil,56,"TV Mysteries",1,"TV Show"
MEX,Mexico,107,"Stand-Up Comedy",16,Movie
JPN,Japan,161,"Music & Musicals",3,Movie
ISR,Israel,20,"Horror Movies",1,Movie
ISR,Israel,20,"Independent Movies",4,Movie
THA,Thailand,51,"Action & Adventure",7,Movie
COL,Colombia,30,"Romantic TV Shows",2,"TV Show"
EGY,Egypt,53,"Romantic Movies",5,Movie
EGY,Egypt,53,Thrillers,2,Movie
SWE,Sweden,26,Documentaries,8,Movie
TWN,Taiwan,72,"TV Comedies",38,Movie
ARE,"United Arab Emirates",19,Dramas,10,Movie
RUS,Russia,17,"Action & Adventure",2,Movie
RUS,Russia,17,Dramas,3,Movie
RUS,Russia,17,"International Movies",6,Movie
THA,Thailand,51,"Crime TV Shows",3,"TV Show"
AUS,Australia,97,"TV Dramas",7,Movie
IND,India,748,"Cult Movies",2,Movie
BGR,Bulgaria,7,"Horror Movies",1,Movie
BGR,Bulgaria,7,"Independent Movies",1,Movie
DNK,Denmark,30,Documentaries,9,Movie
NLD,Netherlands,31,Documentaries,9,Movie
IND,India,748,"Sci-Fi & Fantasy",11,Movie
AZE,Azerbaijan,1,"International TV Shows",1,"TV Show"
AZE,Azerbaijan,1,"Romantic TV Shows",1,"TV Show"
TUR,Turkey,79,"Romantic TV Shows",2,"TV Show"
AZE,Azerbaijan,1,"TV Dramas",1,Movie
